Matvare ID,Matvare,Spiselig del (%),Vann (g),Kilojoule (kJ),Kilokalorier (kcal),Fett (g),Mettede fettsyrer (g),C12:0 (laurinsyre) (g),C14:0 (myristinsyre) (g),C16:0 (palmitinsyre) (g),C18:0 (stearinsyre) (g),Transfettsyrer (g),Enumettede fettsyrer (g),C16:1 sum (palmitoleinsyre) (g),C18:1 sum (oljesyre) (g),Flerumettede fettsyrer (g),C18:2n-6 (linolsyre) (g),C18:3n-3 (alfalinolensyre) (g),C20:3n-3 (eikosatriensyre) (g),"C20:3n-6 (dihomo-gamma-linolensyre, DGLA) (g)",C20:4n-3 (eikosatetraensyre) (g),C20:4n-6 (arakidonsyre) (g),"C20:5n-3 (eikosapentaensyre, EPA) (g)","C22:5n-3 (dokosapentaensyre, DPA) (g)","C22:6n-3 (dokosaheksaensyre, DHA) (g)",Omega-3 (g),Omega-6 (g),Kolesterol (mg),Karbohydrat (g),Stivelse (g),Sukkerarter (g),"Sukker, tilsatt (g)","Sukker, fritt (g)",Kostfiber (g),Protein (g),Alkohol (g),Vitamin A (RAE) (µg-RE),Vitamin A (RE) (µg),Betakaroten (µg),Retinol (µg),Vitamin D (µg),Vitamin E (mg-ATE),Vitamin B1 (tiamin) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B3 (niacin) (mg),Niacinekvivalenter (mg),Vitamin B6 (pyridoksin) (mg),Vitamin B9 (folat) (µg),Vitamin B12 (kobalamin) (µg),Vitamin C (askorbinsyre) (mg),Kalsium (Ca) (mg),Kalium (K) (mg),Natrium (Na) (mg),Salt (NaCl) (g),Fosfor (P) (mg),Magnesium (Mg) (mg),Jern (Fe) (mg),Kobber (Cu) (mg),Sink (Zn) (mg),Selen (Se) (µg),Jod (I) (µg)
Meieriprodukter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.063,"Baconost, smørbar",100.0,68.0,886.0,213.0,17.0,10.8,0.5,1.7,4.8,1.8,0.5,4.1,0.4,3.5,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,42.0,0.1,0.0,0.1,0.0,0.0,0.0,15.0,0.0,175.0,190.0,184.0,160.0,0.1,0.0,0.05,0.2,0.3,3.8,0.16,12.0,0.5,0.0,376.0,60.0,940.0,2.4,900.0,15.0,0.3,0.05,3.0,6.0,18.0
01.136,"Brie, hvitmuggost",100.0,50.0,1490.0,360.0,32.0,20.3,1.0,3.2,9.1,3.3,1.0,7.7,0.7,6.5,0.7,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,79.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,305.0,320.0,188.0,289.0,0.0,0.8,0.06,0.31,1.1,5.3,0.13,48.0,1.6,0.0,500.0,86.0,600.0,1.5,370.0,21.0,0.1,0.02,2.9,10.0,43.0
01.186,"Brunost, uspesifisert",100.0,31.0,1707.0,410.0,27.0,17.2,0.8,2.5,7.7,3.0,0.8,6.5,0.6,5.6,0.6,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,71.0,30.3,0.0,30.3,0.0,0.0,0.0,11.3,0.0,280.0,287.0,91.0,272.0,,0.8,0.16,1.18,0.2,2.8,0.04,28.0,1.3,0.0,518.0,1444.0,323.0,0.8,620.0,82.0,0.2,0.02,1.1,8.0,202.0
01.025,"Camembert, hvitmuggost",100.0,53.0,1359.0,328.0,28.0,17.7,0.8,2.8,7.9,2.9,0.8,6.8,0.6,5.7,0.6,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,69.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,267.0,280.0,164.0,253.0,0.0,0.7,0.06,0.33,1.1,5.5,0.14,51.0,1.7,0.0,540.0,91.0,600.0,1.5,390.0,23.0,0.1,0.02,3.0,11.0,45.0
01.027,"Cheddar, gulost",100.0,43.0,1614.0,389.0,32.0,20.3,1.0,3.2,9.1,3.3,1.0,7.7,0.7,6.5,0.7,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,79.0,0.3,0.0,0.3,0.0,0.0,0.0,25.0,0.0,376.0,387.0,141.0,364.0,0.3,0.6,0.03,0.28,0.1,5.9,0.15,31.0,2.4,0.0,660.0,70.0,800.0,2.0,445.0,24.0,0.2,0.04,3.4,6.0,30.0
01.251,"Chevre, geitost, naturell",100.0,56.0,1308.0,316.0,28.0,18.1,0.9,2.3,8.2,3.5,0.8,6.6,0.5,6.0,0.7,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,83.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,210.0,210.0,1.0,210.0,0.0,0.7,0.03,0.53,0.8,4.3,0.06,82.0,0.8,0.0,64.0,121.0,440.0,1.1,240.0,12.0,0.2,0.04,0.5,9.0,80.0
01.028,Cottage Cheese,100.0,81.0,406.0,97.0,4.3,2.7,0.1,0.4,1.2,0.5,0.1,1.0,0.1,0.9,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.5,0.0,1.5,0.0,0.0,0.0,13.0,0.0,18.0,20.0,25.0,16.0,0.0,0.0,0.05,0.2,0.1,3.1,0.0,12.0,0.6,0.0,80.0,82.0,160.0,0.4,165.0,9.0,0.0,0.02,0.6,4.0,15.0
01.062,"Crème Chérie, mykost",100.0,55.0,1385.0,335.0,31.0,19.6,0.9,3.1,8.8,3.2,0.9,7.5,0.7,6.3,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,76.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,155.0,170.0,182.0,140.0,0.2,0.7,0.02,0.16,0.0,3.3,0.0,14.0,0.5,0.0,390.0,104.0,900.0,2.3,960.0,16.0,0.3,0.08,2.3,0.0,6.0
01.089,"Crème Fraîche, 35 % fett",100.0,60.0,1378.0,335.0,35.0,22.2,1.1,3.5,9.9,3.6,1.0,8.4,0.8,7.1,0.8,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,86.0,2.9,0.0,2.9,0.0,0.0,0.0,2.0,0.0,505.0,522.0,206.0,488.0,0.2,0.8,0.03,0.15,0.0,0.5,0.02,4.0,0.2,0.0,80.0,97.0,30.0,0.1,53.0,6.0,0.0,0.0,0.2,1.0,17.0
01.030,"Edamer, gulost",100.0,45.0,1475.0,355.0,27.0,17.1,0.8,2.7,7.6,2.8,0.8,6.5,0.6,5.5,0.6,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,66.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,257.0,270.0,159.0,244.0,0.0,0.7,0.08,0.3,0.4,6.9,0.03,41.0,2.4,0.0,800.0,76.0,600.0,1.5,580.0,32.0,0.2,0.04,4.4,10.0,30.0
01.188,"Feta, ost med geitmelk",100.0,61.0,1080.0,260.0,20.8,13.3,0.7,2.1,6.1,2.0,0.7,4.8,0.3,3.3,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,63.0,0.2,0.0,0.2,0.0,0.0,0.0,18.1,0.0,198.0,205.0,84.0,191.0,0.2,0.2,0.05,0.45,1.8,6.0,0.25,62.0,1.1,0.0,220.0,34.0,1060.0,2.7,224.0,8.0,0.1,0.03,1.5,9.0,12.0
01.053,"Fløtemysost, brunost",100.0,31.0,1693.0,406.0,26.0,16.5,0.8,2.6,7.4,2.7,0.8,6.3,0.6,5.3,0.6,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,64.0,32.0,0.0,32.0,0.0,0.0,0.0,11.0,0.0,246.0,258.0,149.0,234.0,0.0,0.0,0.18,1.01,0.0,2.6,0.05,51.0,1.9,0.0,540.0,1410.0,340.0,0.9,603.0,79.0,0.2,0.02,1.1,7.0,134.0
